Player1,Player2,Round,Result,FNL1,FNL2,FSP1,FSW1,SSP1,SSW1,ACE1,DBF1,WNR1,UFE1,BPC1,BPW1,NPA1,NPW1,TPW1,FSP2,FSW2,SSP2,SSW2,ACE2,DBF2,WNR2,UFE2,BPC2,BPW2,NPA2,NPW2,TPW2,G,mf
Marin Cilic,Gilles Simon,2,0,2,3,50,50,50,32,15,7,15,7,7,15,,,156,49,65,51,41,7,8,7,8,10,12,,,171,M,Cilic vs. Simon
Jo-Wilfried Tsonga,Thomaz Bellucci,2,1,3,0,64,51,36,18,14,6,47,28,3,9,16,24,110,45,31,55,34,9,5,19,29,1,4,13,18,88,M,Tsonga vs. Bellucci
Blaz Rola,Martin Klizan,2,0,1,3,63,66,37,24,12,8,12,8,3,4,,,123,58,49,42,34,16,5,16,5,5,14,,,139,M,Rola vs. Klizan
Stephane Robert,Michal Przysiezny,2,1,3,1,58,56,42,30,13,8,43,28,6,17,13,15,143,58,50,42,24,12,6,46,63,2,7,22,36,112,M,Robert vs. Przysiezny
Michael Berrer,Feliciano Lopez,2,0,0,3,68,47,32,17,6,3,29,25,2,4,37,61,93,62,45,38,23,8,3,43,24,4,11,17,21,108,M,Berrer vs. Lopez
Andy Murray,Vincent Millot,2,1,3,0,59,35,41,17,5,5,25,31,8,17,7,7,106,55,25,45,20,2,7,22,55,3,4,12,20,68,M,Murray vs. Millot
Roberto Bautista Agut,Juan Martin Del Potro,2,1,3,2,69,88,31,23,12,6,72,59,5,8,20,28,162,72,76,28,21,28,2,53,41,4,17,13,25,152,M,Agut vs. Potro
Benoit Paire,Nick Kyrgios,2,1,3,2,50,68,50,47,32,5,78,45,7,24,28,32,188,66,86,34,27,24,11,59,74,2,10,21,35,159,M,Paire vs. Kyrgios
Yen-Hsun Lu,Grigor Dimitrov,2,0,0,3,70,47,30,19,2,2,23,46,2,4,13,18,95,59,49,41,18,15,7,36,35,5,21,5,9,117,M,Lu vs. Dimitrov
Milos Raonic,Victor Hanescu,2,1,3,0,64,57,36,23,27,2,63,36,2,6,17,25,116,67,55,33,22,6,1,23,23,0,5,7,10,101,M,Raonic vs. Hanescu
Dusan Lajovic,Kei Nishikori,2,0,0,3,70,37,30,8,7,3,17,49,1,5,4,7,68,64,43,36,15,5,3,30,27,6,12,10,14,104,M,Lajovic vs. Nishikori
Andreas Seppi,Donald Young,2,0,2,3,57,57,43,33,12,10,47,65,6,18,9,15,165,61,71,39,29,6,15,47,78,6,15,31,48,158,M,Seppi vs. Young
Jack Sock,Gael Monfils,2,0,0,3,58,48,42,23,5,9,34,37,1,1,16,29,92,62,47,38,23,13,3,39,30,4,11,20,26,117,M,Sock vs. Monfils
Rafael Nadal,Thanasi Kokkinakis,2,1,3,0,74,45,26,11,7,1,39,19,5,10,11,14,91,67,33,33,10,4,3,21,24,0,3,8,10,61,M,Nadal vs. Kokkinakis
Denis Istomin,Novak Djokovic,3,0,0,3,65,41,35,10,5,1,14,26,1,1,3,9,71,63,38,37,20,6,1,31,23,5,8,16,21,93,M,Istomin vs. Djokovic
Fabio Fognini,Sam Querrey,3,1,3,0,60,41,40,26,9,3,43,26,4,10,7,11,108,63,43,37,19,10,1,27,41,1,4,11,23,86,M,Fognini vs. Querrey
Tommy Robredo,Richard Gasquet,3,1,3,1,65,70,35,21,16,3,51,38,3,7,18,25,140,62,61,38,28,4,5,62,34,3,9,44,57,137,M,Robredo vs. Gasquet
Jeremy Chardy,David Ferrer,3,0,0,3,58,44,42,17,8,8,30,51,1,3,17,27,87,72,44,28,17,2,1,22,24,5,11,10,12,111,M,Chardy vs. Ferrer
Florian Mayer,Jerzy Janowicz,3,1,3,0,68,42,32,15,17,0,38,7,5,11,12,13,98,53,34,47,18,3,7,34,44,0,1,11,15,63,M,Mayer vs. Janowicz
Kevin Anderson,Edouard Roger-Vasselin,3,1,3,2,67,77,33,26,27,6,82,69,3,12,22,30,164,74,94,26,20,8,4,43,34,3,7,17,29,162,M,Anderson vs. Roger-Vasselin
Tomas Berdych,Damir Dzumhur,3,1,3,0,57,37,43,19,13,1,32,26,5,9,13,18,93,44,25,56,17,5,6,21,34,0,2,5,9,58,M,Berdych vs. Dzumhur
Teymuraz Gabashvili,Roger Federer,3,0,0,3,69,38,31,10,3,5,27,33,0,5,7,19,66,62,39,38,16,6,1,35,18,5,14,11,20,98,M,Gabashvili vs. Federer
Jo-Wilfried Tsonga,Gilles Simon,3,1,3,0,66,49,34,20,17,0,40,29,3,6,20,27,94,53,34,47,22,7,3,21,25,0,3,23,28,79,M,Tsonga vs. Simon
Stephane Robert,Martin Klizan,3,1,3,0,72,54,28,11,7,5,35,23,4,10,14,17,105,53,32,47,21,6,4,36,38,0,3,18,29,75,M,Robert vs. Klizan
Andy Murray,Feliciano Lopez,3,1,3,0,64,50,36,16,6,2,29,30,4,11,11,18,106,57,39,43,20,8,7,31,44,1,1,26,37,84,M,Murray vs. Lopez
Benoit Paire,Roberto Bautista Agut,3,0,0,3,58,30,42,10,13,3,31,59,2,7,11,22,65,83,46,17,7,4,1,21,23,7,20,11,14,96,M,Paire vs. Agut
Milos Raonic,Grigor Dimitrov,3,0,1,3,59,55,41,30,21,5,50,39,1,3,22,53,107,60,55,40,33,15,5,49,13,2,4,12,15,128,M,Raonic vs. Dimitrov
Donald Young,Kei Nishikori,3,0,0,3,64,23,36,7,1,5,17,32,1,4,15,30,56,54,29,46,21,3,1,30,27,8,12,3,7,93,M,Young vs. Nishikori
Rafael Nadal,Gael Monfils,3,1,3,0,67,38,33,20,2,0,21,18,6,12,9,13,107,69,39,31,10,10,5,33,57,0,6,4,9,70,M,Nadal vs. Monfils
Fabio Fognini,Novak Djokovic,4,0,0,3,59,32,41,13,3,7,20,44,0,0,11,16,55,72,38,28,12,7,2,33,21,6,22,12,16,96,M,Fognini vs. Djokovic
Stanislas Wawrinka,Tommy Robredo,4,1,3,0,56,54,44,24,14,3,57,37,2,5,17,25,118,71,53,29,14,1,0,24,22,1,4,13,16,96,M,Wawrinka vs. Robredo
Florian Mayer,David Ferrer,4,0,1,3,61,52,39,27,4,3,33,49,3,11,29,56,118,63,55,37,24,3,1,64,43,9,19,19,27,153,M,Mayer vs. Ferrer
Tomas Berdych,Kevin Anderson,4,1,3,0,52,33,48,21,4,3,38,17,5,17,15,18,92,72,40,28,9,16,1,31,30,0,0,6,19,66,M,Berdych vs. Anderson
Jo-Wilfried Tsonga,Roger Federer,4,0,0,3,52,32,48,23,8,1,29,28,0,1,11,25,72,57,42,43,25,7,1,43,21,3,7,34,41,100,M,Tsonga vs. Federer
Andy Murray,Stephane Robert,4,1,3,1,62,59,38,25,8,3,48,47,7,14,16,24,137,51,39,49,22,3,8,33,56,1,6,20,31,103,M,Murray vs. Robert
Grigor Dimitrov,Roberto Bautista Agut,4,1,3,1,60,57,40,21,11,3,38,34,4,5,23,35,114,64,44,36,22,5,1,27,45,1,5,13,23,100,M,Dimitrov vs. Agut
Rafael Nadal,Kei Nishikori,4,1,3,0,71,67,29,14,12,1,36,28,5,8,10,19,129,66,51,34,16,2,1,36,51,4,10,20,25,110,M,Nadal vs. Nishikori
Stanislas Wawrinka,Novak Djokovic,5,1,3,2,58,71,42,36,17,5,51,60,5,10,20,30,153,73,75,27,23,7,1,45,60,4,7,26,35,161,M,Wawrinka vs. Djokovic
Tomas Berdych,David Ferrer,5,1,3,1,52,52,48,27,10,4,43,62,5,13,18,28,128,61,46,39,23,2,1,30,46,3,12,12,13,119,M,Berdych vs. Ferrer
Andy Murray,Roger Federer,5,0,1,3,61,60,39,28,9,1,41,46,1,2,17,27,121,64,61,36,28,10,0,54,42,4,17,49,66,147,M,Murray vs. Federer
Rafael Nadal,Grigor Dimitrov,5,1,3,1,73,66,27,22,3,7,42,47,4,11,32,36,147,58,64,42,32,16,5,54,61,3,6,28,41,132,M,Nadal vs. Dimitrov
Tomas Berdych,Stanislas Wawrinka,6,0,1,3,62,71,38,30,21,7,60,49,0,1,23,31,142,61,72,39,32,18,4,57,49,1,4,14,18,143,M,Berdych vs. Wawrinka
Rafael Nadal,Roger Federer,6,1,3,0,65,41,35,22,3,1,28,25,4,14,3,10,105,66,45,34,18,8,1,34,50,1,2,23,42,86,M,Nadal vs. Federer
Rafael Nadal,Stanislas Wawrinka,7,0,1,3,78,50,22,10,1,3,19,32,2,6,5,8,88,55,46,45,22,19,2,53,49,5,15,11,12,116,M,Nadal vs. Wawrinka
Serena Williams,Vesna Dolonc,2,1,2,0,66,28,34,8,10,2,24,19,4,7,3,4,61,54,17,46,6,2,8,9,20,0,1,3,3,37,F,Williams vs. Dolonc
Karolina Pliskova,Daniela Hantuchova,2,0,1,2,55,50,45,28,11,6,57,60,3,14,15,17,123,59,53,41,28,9,8,43,35,4,9,10,14,129,F,Pliskova vs. Hantuchova
Samantha Stosur,Tsvetana Pironkova,2,1,2,0,59,20,41,10,4,3,23,15,5,13,13,17,58,57,15,43,4,1,2,5,19,0,1,5,6,30,F,Stosur vs. Pironkova
Annika Beck,Ana Ivanovic,2,0,0,2,75,13,25,3,0,3,10,29,2,3,5,8,35,54,16,46,13,2,2,16,17,6,7,0,1,57,F,Beck vs. Ivanovic
Jie Zheng,Madison Keys,2,1,2,1,76,40,24,14,0,4,19,48,7,10,10,15,102,63,39,37,18,3,1,30,43,8,16,6,11,109,F,Zheng vs. Keys
Casey Dellacqua,Kirsten Flipkens,2,1,2,0,73,22,27,6,1,0,15,15,6,19,7,10,61,48,15,52,10,0,7,17,29,1,1,10,13,38,F,Dellacqua vs. Flipkens
Eugenie Bouchard,Virginie Razzano,2,1,2,0,50,26,50,17,4,2,25,25,5,10,3,7,84,75,32,25,6,2,1,27,42,3,9,13,17,71,F,Bouchard vs. Razzano
Lauren Davis,Julia Goerges,2,1,2,1,69,51,31,15,0,6,14,20,3,7,5,7,94,71,45,29,11,6,1,42,47,3,13,12,15,98,F,Davis vs. Goerges
Na Li,Belinda Bencic,2,1,2,0,60,27,40,12,4,2,30,31,5,7,2,5,67,54,21,46,8,2,5,12,19,2,2,3,4,53,F,Li vs. Bencic
Lucie Hradecka,Lucie Safarova,2,0,1,2,44,33,56,26,9,9,9,9,0,6,,,90,62,47,38,20,6,7,6,7,4,13,,,113,F,Hradecka vs. Safarova
Ekaterina Makarova,Irina Falconi,2,1,2,0,56,26,44,14,4,6,18,28,5,13,9,14,74,74,22,26,10,0,2,18,40,2,4,3,7,55,F,Makarova vs. Falconi
Monica Niculescu,Sabine Lisicki,2,1,2,1,66,35,34,9,0,6,8,18,7,14,12,16,87,53,23,47,14,10,6,43,56,5,6,19,34,76,F,Niculescu vs. Lisicki
Angelique Kerber,Alla Kudryavtseva,2,1,2,0,59,24,41,11,3,1,22,10,4,13,3,4,65,63,25,37,8,4,2,23,24,1,2,11,17,47,F,Kerber vs. Kudryavtseva
Yanina Wickmayer,Alison Riske,2,0,0,2,63,13,37,6,3,3,14,30,0,2,3,7,36,78,27,22,6,4,2,15,8,5,10,2,3,60,F,Wickmayer vs. Riske
Flavia Pennetta,Monica Puig,2,1,2,0,45,22,55,18,9,0,21,14,2,6,4,4,67,45,21,55,16,5,6,19,38,0,0,11,16,50,F,Pennetta vs. Puig
Mona Barthel,Luksika Kumkhum,2,1,2,1,63,44,37,18,3,6,25,33,4,5,11,20,92,58,38,42,13,4,8,37,39,3,7,7,8,94,F,Barthel vs. Kumkhum
Jelena Jankovic,Ayumi Morita,2,1,2,0,59,19,41,7,9,4,25,14,6,6,0,1,53,57,8,43,5,1,3,7,18,1,1,1,2,26,F,Jankovic vs. Morita
Kurumi Nara,Magdalena Rybarikova,2,1,2,0,66,26,34,15,0,2,8,26,4,4,5,10,59,52,16,48,8,4,1,13,38,2,5,7,11,51,F,Nara vs. Rybarikova
Marina Erakovic,Zarina Diyas,2,0,0,2,50,15,50,8,2,5,15,27,1,10,3,4,46,70,27,30,10,1,1,27,15,5,5,2,2,66,F,Erakovic vs. Diyas
Varvara Lepchenko,Simona Halep,2,0,1,2,63,34,37,10,1,4,23,47,2,2,9,10,66,58,29,42,16,0,3,10,19,6,15,1,2,90,F,Lepchenko vs. Halep
Carla Suarez Navarro,Galina Voskoboeva,2,1,2,1,73,57,27,17,0,5,19,30,6,10,14,19,126,55,40,45,23,3,13,50,67,7,17,25,39,121,F,Navarro vs. Voskoboeva
Stefanie Voegele,Dominika Cibulkova,2,0,0,2,42,11,58,1,3,1,12,22,1,5,2,3,30,68,21,32,8,0,2,17,13,6,9,4,5,55,F,Voegele vs. Cibulkova
Alize Cornet,Camila Giorgi,2,1,2,1,59,39,41,17,1,9,5,29,6,13,2,6,103,56,31,44,20,0,12,28,73,5,12,19,33,92,F,Cornet vs. Giorgi
Karin Knapp,Maria Sharapova,2,1,2,1,53,40,47,23,3,9,20,55,6,9,6,7,112,60,44,40,23,2,12,34,67,7,20,6,6,124,F,Knapp vs. Sharapova
Agnieszka Radwanska,Olga Govortsova,2,1,2,0,66,28,34,8,1,1,18,13,5,8,11,14,63,70,20,30,6,0,1,18,26,1,2,13,18,43,F,Radwanska vs. Govortsova
Mandy Minella,Anastasia Pavlyuchenkova,2,0,0,2,55,21,45,11,2,3,2,3,0,0,,,42,67,24,33,8,5,1,5,1,4,9,,,65,F,Minella vs. Pavlyuchenkova
Garbine Muguruza,Anna Schmiedlova,2,1,2,0,56,23,44,11,6,6,24,33,6,8,4,9,66,59,15,41,7,1,5,6,20,3,7,0,2,45,F,Muguruza vs. Schmiedlova
Christina McHale,Caroline Wozniacki,2,0,1,2,53,22,47,12,3,3,17,37,3,6,2,2,61,74,30,26,8,2,3,15,29,5,12,11,15,70,F,McHale vs. Wozniacki
Sloane Stephens,Ajla Tomljanovic,2,1,2,1,71,39,29,14,3,3,25,36,5,10,10,13,92,54,35,46,22,3,6,25,44,3,6,8,16,87,F,Stephens vs. Tomljanovic
Olivia Rogowska,Elina Svitolina,2,0,0,2,61,26,39,14,5,2,22,36,3,5,8,10,65,53,26,47,15,7,3,19,24,5,8,8,11,76,F,Rogowska vs. Svitolina
Bojana Jovanovski,Yvonne Meusburger,2,0,1,2,69,30,31,14,,1,32,50,6,9,7,9,85,67,38,33,5,,5,18,34,8,15,9,12,92,F,Jovanovski vs. Meusburger
Barbora Zahlavova Strycova,Victoria Azarenka,2,0,0,2,55,13,45,9,1,2,17,30,2,8,17,27,50,85,34,15,6,0,1,15,18,5,11,10,19,65,F,Strycova vs. Azarenka
Serena Williams,Daniela Hantuchova,3,1,2,0,48,20,52,15,10,2,25,21,4,7,4,12,60,54,15,46,12,2,2,10,19,1,6,1,3,48,F,Williams vs. Hantuchova
Samantha Stosur,Ana Ivanovic,3,0,1,2,68,42,32,22,3,2,21,30,1,4,11,16,93,58,47,42,23,6,3,46,40,4,9,16,23,107,F,Stosur vs. Ivanovic
Jie Zheng,Casey Dellacqua,3,0,0,2,64,18,36,11,0,5,15,28,2,3,2,4,45,58,20,42,14,1,3,14,16,5,10,3,4,64,F,Zheng vs. Dellacqua
Eugenie Bouchard,Lauren Davis,3,1,2,0,61,23,39,10,4,2,18,23,5,8,3,5,67,77,24,23,3,0,1,7,31,1,3,3,4,43,F,Bouchard vs. Davis
Na Li,Lucie Safarova,3,1,2,1,60,43,40,18,5,6,17,50,4,10,8,9,99,59,33,41,17,2,7,21,43,6,16,5,6,99,F,Li vs. Safarova
Ekaterina Makarova,Monica Niculescu,3,1,2,0,56,17,44,13,2,1,17,35,6,9,9,10,65,70,23,30,8,1,3,9,34,4,4,4,11,56,F,Makarova vs. Niculescu
Angelique Kerber,Alison Riske,3,1,2,0,63,21,37,6,4,4,21,16,7,13,6,9,64,62,16,38,8,0,6,18,29,4,5,8,23,48,F,Kerber vs. Riske
Flavia Pennetta,Mona Barthel,3,1,2,0,44,17,56,15,3,4,14,10,6,15,3,5,70,60,22,40,13,4,6,22,45,2,4,6,10,55,F,Pennetta vs. Barthel
Jelena Jankovic,Kurumi Nara,3,1,2,0,62,23,38,13,1,3,12,33,7,9,5,10,72,86,25,14,5,0,2,19,43,5,7,13,18,63,F,Jankovic vs. Nara
Zarina Diyas,Simona Halep,3,0,0,2,61,16,39,7,0,3,9,32,2,4,7,9,42,52,18,48,13,1,3,18,20,6,6,3,6,62,F,Diyas vs. Halep
Carla Suarez Navarro,Dominika Cibulkova,3,0,0,2,65,12,35,4,0,0,2,23,0,1,0,3,26,69,21,31,8,1,1,20,20,5,9,7,9,56,F,Navarro vs. Cibulkova
Alize Cornet,Maria Sharapova,3,0,0,2,65,24,35,9,,5,11,23,4,6,7,12,60,50,23,50,16,,8,35,35,6,14,12,13,81,F,Cornet vs. Sharapova
Agnieszka Radwanska,Anastasia Pavlyuchenkova,3,1,2,1,65,36,35,16,5,2,25,19,6,9,13,20,96,59,29,41,17,0,7,39,49,3,5,12,21,78,F,Radwanska vs. Pavlyuchenkova
Garbine Muguruza,Caroline Wozniacki,3,1,2,1,64,37,36,16,5,7,33,56,7,10,12,17,96,67,39,33,12,2,6,17,37,5,16,9,13,93,F,Muguruza vs. Wozniacki
Sloane Stephens,Elina Svitolina,3,1,2,0,69,31,31,10,1,0,24,32,4,9,10,13,68,57,23,43,15,0,4,12,27,2,3,9,17,61,F,Stephens vs. Svitolina
Yvonne Meusburger,Victoria Azarenka,3,0,0,2,70,8,30,4,,5,5,18,1,2,3,3,25,74,20,26,5,,2,20,13,7,14,14,17,56,F,Meusburger vs. Azarenka
Serena Williams,Ana Ivanovic,4,0,1,2,66,43,34,13,13,4,22,31,2,3,10,15,79,53,31,47,21,1,2,33,27,4,14,10,13,91,F,Williams vs. Ivanovic
Casey Dellacqua,Eugenie Bouchard,4,0,1,2,61,33,39,14,0,3,11,47,1,2,5,9,68,65,37,35,16,6,1,29,28,6,11,10,12,94,F,Dellacqua vs. Bouchard
Na Li,Ekaterina Makarova,4,1,2,0,80,26,20,4,1,1,18,14,5,7,8,14,55,64,14,36,3,0,1,4,11,0,4,3,4,31,F,Li vs. Makarova
Angelique Kerber,Flavia Pennetta,4,0,1,2,64,35,36,10,1,4,25,35,5,6,5,13,77,60,33,40,12,8,2,43,37,8,18,17,27,98,F,Kerber vs. Pennetta
Jelena Jankovic,Simona Halep,4,0,1,2,67,32,33,11,2,2,23,43,4,8,20,30,69,64,26,36,14,0,4,22,28,6,13,4,4,81,F,Jankovic vs. Halep
Dominika Cibulkova,Maria Sharapova,4,1,2,1,69,27,31,13,1,5,16,28,7,14,2,2,87,66,31,34,12,3,8,27,45,5,10,8,10,77,F,Cibulkova vs. Sharapova
Agnieszka Radwanska,Garbine Muguruza,4,1,2,0,73,34,27,11,2,1,9,15,4,9,4,7,76,56,18,44,10,3,3,23,44,0,6,6,14,49,F,Radwanska vs. Muguruza
Sloane Stephens,Victoria Azarenka,4,0,0,2,72,24,28,9,0,0,20,32,0,2,6,8,55,69,32,31,10,3,7,20,20,3,14,13,17,74,F,Stephens vs. Azarenka
Ana Ivanovic,Eugenie Bouchard,5,0,1,2,56,34,44,23,1,4,34,35,5,12,12,18,104,58,42,42,20,2,6,47,37,7,13,19,24,113,F,Ivanovic vs. Bouchard
Na Li,Flavia Pennetta,5,1,2,0,64,23,36,10,1,1,23,17,5,8,7,10,62,39,12,61,13,3,5,14,27,1,4,2,2,37,F,Li vs. Pennetta
Simona Halep,Dominika Cibulkova,5,0,0,2,67,13,33,6,2,1,9,25,1,3,1,4,32,77,25,23,5,0,3,17,16,5,9,3,4,54,F,Halep vs. Cibulkova
Agnieszka Radwanska,Victoria Azarenka,5,1,2,1,59,33,41,16,1,1,23,15,6,16,19,24,94,60,26,40,19,0,5,33,47,2,5,20,34,74,F,Radwanska vs. Azarenka
Eugenie Bouchard,Na Li,6,0,0,2,45,13,55,5,2,2,10,14,3,7,4,5,49,61,27,39,11,4,5,35,23,6,10,11,14,71,F,Bouchard vs. Li
Dominika Cibulkova,Agnieszka Radwanska,6,1,2,0,64,22,36,10,0,2,21,20,6,9,12,14,63,68,17,32,2,2,2,12,24,1,9,4,9,40,F,Cibulkova vs. Radwanska
Na Li,Dominika Cibulkova,7,1,2,0,60,21,40,15,2,3,34,30,5,10,8,13,75,67,29,33,5,0,7,11,28,2,3,3,4,58,F,Li vs. Cibulkova
